ucp-proxy
2018-06-28T16:56:41.575079262Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:41Z"}
2018-06-28T16:56:41.575084507Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:41Z"}
2018-06-28T16:56:41.575553832Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:41Z"}
2018-06-28T16:56:41.583384271Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:41Z"}
2018-06-28T16:56:41.600889013Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:41Z"}
2018-06-28T16:56:44.666513172Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:44Z"}
2018-06-28T16:56:51.556967013Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:51Z"}
2018-06-28T16:56:51.557017628Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:51Z"}
2018-06-28T16:56:51.587360577Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:51Z"}
2018-06-28T16:56:52.534262575Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:52Z"}
2018-06-28T16:56:52.535025687Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:52Z"}
2018-06-28T16:56:52.536014833Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:52Z"}
2018-06-28T16:56:52.536027380Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:52Z"}
2018-06-28T16:56:52.537222088Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:52Z"}
2018-06-28T16:56:54.666646511Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:54Z"}
2018-06-28T16:56:57.498038673Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:57Z"}
2018-06-28T16:56:57.498067168Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:57Z"}
2018-06-28T16:57:01.560763769Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:57:01Z"}
2018-06-28T16:57:01.560799392Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:57:01Z"}
2018-06-28T16:57:01.591225226Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:57:01Z"}
2018-06-28T16:57:03.535213489Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:57:03Z"}
2018-06-28T16:57:03.535652268Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:57:03Z"}
2018-06-28T16:57:03.536773958Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:57:03Z"}
2018-06-28T16:57:03.536961139Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:57:03Z"}
2018-06-28T16:57:03.537950137Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:57:03Z"}
2018-06-28T16:57:04.666958659Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:57:04Z"}
2018-06-28T17:00:33.106981443Z {"level":"info","msg":"Configuring TLS: ca=/etc/docker/ssl/ca.pem cert=/etc/docker/ssl/cert.pem key=/etc/docker/ssl/key.pem","time":"2018-06-28T17:00:33Z"}
