ucp-proxy
2018-06-22T15:27:10.606178951Z {"level":"info","msg":"Configuring TLS: ca=/etc/docker/ssl/ca.pem cert=/etc/docker/ssl/cert.pem key=/etc/docker/ssl/key.pem","time":"2018-06-22T15:27:10Z"}
2018-06-22T15:27:30.996829736Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:30Z"}
2018-06-22T15:27:30.996849284Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:30Z"}
2018-06-22T15:27:31.172908210Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.849557608Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.854238117Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.854254576Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.985625874Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.985640415Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.985645262Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.985649460Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.985653838Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.992540722Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.992825037Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.996064076Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.997368360Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.997385287Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.997391014Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.997394966Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:32.000506595Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.000522865Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.000530324Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.000537140Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.000544076Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.000550249Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.008247237Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.008261434Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.008265988Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.008269914Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.008273778Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.010406084Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.010422388Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.013881999Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.013898283Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.014038813Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.015821423Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.015836752Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.018579983Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.018597172Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.026387521Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.085900992Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.125337283Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.310293775Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:33.015180681Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:33Z"}
2018-06-22T15:27:33.018932655Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:33Z"}
2018-06-22T15:27:33.051659764Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:33Z"}
2018-06-22T15:27:33.070460116Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:33Z"}
2018-06-22T15:27:35.248540867Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:35Z"}
2018-06-22T15:27:39.406181305Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:39Z"}
2018-06-22T15:27:39.548149348Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:39Z"}
2018-06-22T15:27:40.270350954Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:40Z"}
2018-06-22T15:27:40.271516774Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:40Z"}
2018-06-22T15:27:40.272438904Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:40Z"}
2018-06-22T15:27:40.280649110Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:40Z"}
2018-06-22T15:27:40.280666656Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:40Z"}
2018-06-22T15:27:40.280852886Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:40Z"}
2018-06-22T15:27:40.281832206Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:40Z"}
2018-06-22T15:27:40.282802090Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:40Z"}
2018-06-22T15:27:40.986904926Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:40Z"}
2018-06-22T15:27:40.988994718Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:40Z"}
2018-06-22T15:27:41.000885131Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:41Z"}
2018-06-22T15:27:41.000902270Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:41Z"}
2018-06-22T15:27:41.176972213Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:41Z"}
2018-06-28T16:42:26.884016686Z {"level":"info","msg":"Configuring TLS: ca=/etc/docker/ssl/ca.pem cert=/etc/docker/ssl/cert.pem key=/etc/docker/ssl/key.pem","time":"2018-06-28T16:42:26Z"}
2018-06-28T16:42:26.996025278Z {"level":"info","msg":"Initializing kubernetes reverse TLS proxy for port 6443 on managers on :6444","time":"2018-06-28T16:42:26Z"}
2018-06-28T16:42:27.003016843Z {"level":"info","msg":"Initializing etcd reverse TLS proxy for port 12379 on managers on :12378","time":"2018-06-28T16:42:27Z"}
2018-06-28T16:42:37.238858601Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:37.248055550Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:37.938618744Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:37.938649295Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:37.938764478Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:37.949109692Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:37.949125275Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:37.949133141Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:37.949140218Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:37.949297283Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:39.681654755Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:39Z"}
2018-06-28T16:42:39.949936266Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:39Z"}
2018-06-28T16:42:39.950122129Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:39Z"}
2018-06-28T16:42:39.950151456Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:39Z"}
2018-06-28T16:42:40.254583536Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:40Z"}
2018-06-28T16:42:40.411162157Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:40Z"}
2018-06-28T16:42:43.407810008Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:43Z"}
2018-06-28T16:42:45.475174839Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:45Z"}
2018-06-28T16:42:48.215093166Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:48Z"}
2018-06-28T16:42:48.228247686Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:48Z"}
2018-06-28T16:42:48.910367865Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:48Z"}
2018-06-28T16:42:48.916916414Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:48Z"}
2018-06-28T16:42:48.918349331Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:48Z"}
2018-06-28T16:42:48.922696166Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:48Z"}
2018-06-28T16:42:48.924395541Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:48Z"}
2018-06-28T16:42:48.926118669Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:48Z"}
2018-06-28T16:42:48.935113067Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:48Z"}
2018-06-28T16:42:48.935998072Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:48Z"}
2018-06-28T16:42:50.601503732Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:50Z"}
2018-06-28T16:42:50.932522336Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:50Z"}
2018-06-28T16:42:50.935427007Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:50Z"}
2018-06-28T16:42:50.935631130Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:50Z"}
2018-06-28T16:42:51.083439508Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:51Z"}
2018-06-28T16:42:55.503110850Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:55Z"}
2018-06-28T16:42:57.695254371Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:57Z"}
2018-06-28T16:42:59.216147392Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:59Z"}
2018-06-28T16:42:59.228953409Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:59Z"}
2018-06-28T16:42:59.911228452Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:59Z"}
2018-06-28T16:42:59.917454504Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:59Z"}
2018-06-28T16:42:59.918926790Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:59Z"}
2018-06-28T16:42:59.923271594Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:59Z"}
2018-06-28T16:42:59.925070693Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:59Z"}
2018-06-28T16:42:59.926593229Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:59Z"}
2018-06-28T16:42:59.935582460Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:59Z"}
2018-06-28T16:42:59.936759661Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:59Z"}
2018-06-28T16:43:01.004122938Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:01Z"}
