ucp-kube-apiserver
2018-06-28T16:42:27.713372173Z I0628 16:42:27.689069       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.713380174Z I0628 16:42:27.692807       1 feature_gate.go:162] feature gates: map[Initializers:true]
2018-06-28T16:42:27.713386240Z I0628 16:42:27.692832       1 initialization.go:84] enabled Initializers feature as part of admission plugin setup
2018-06-28T16:42:27.713392429Z W0628 16:42:27.692961       1 admission.go:66] PersistentVolumeLabel admission controller is deprecated. Please remove this controller from your configuration files and scripts.
2018-06-28T16:42:27.718055838Z E0628 16:42:27.715212       1 oidc.go:190] oidc authenticator: failed to fetch provider discovery data: Get https://enzi.example.com/.well-known/openid-configuration: EOF
2018-06-28T16:42:27.782049684Z I0628 16:42:27.773052       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.782074265Z I0628 16:42:27.778084       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.782081934Z I0628 16:42:27.778710       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.790029385Z I0628 16:42:27.786536       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.802036442Z I0628 16:42:27.798073       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.802053399Z I0628 16:42:27.798963       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.802061609Z I0628 16:42:27.801533       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.814878959Z I0628 16:42:27.808487       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.814898620Z I0628 16:42:27.809309       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.814906488Z I0628 16:42:27.810093       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.814912905Z I0628 16:42:27.811017       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.814918791Z I0628 16:42:27.811895       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.814924544Z I0628 16:42:27.812603       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.814930458Z I0628 16:42:27.813610       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.827987615Z I0628 16:42:27.821606       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.828005125Z I0628 16:42:27.822288       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.828012578Z I0628 16:42:27.822702       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.828018751Z I0628 16:42:27.823507       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.853029029Z I0628 16:42:27.852278       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.865031340Z I0628 16:42:27.858308       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.865048099Z I0628 16:42:27.859024       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.865066904Z I0628 16:42:27.859714       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.865074100Z I0628 16:42:27.860333       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.865080017Z I0628 16:42:27.861017       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.865085688Z I0628 16:42:27.862351       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.877988322Z I0628 16:42:27.875315       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.884435809Z I0628 16:42:27.877196       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.884452486Z I0628 16:42:27.881755       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.888980714Z I0628 16:42:27.883920       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.888996673Z I0628 16:42:27.885173       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.891093617Z I0628 16:42:27.887071       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.891124156Z I0628 16:42:27.887796       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.891131841Z I0628 16:42:27.888455       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.891138086Z I0628 16:42:27.889110       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.891144212Z I0628 16:42:27.889655       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.897036188Z I0628 16:42:27.891432       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.897053895Z I0628 16:42:27.892025       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.897061072Z I0628 16:42:27.892600       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
